Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2012.3.14,7.2,7.2,6.96,7.058,7.058,4257500,7.159333333,7.008
2012.3.15,7.056,7.096,6.956,7,7,2858000,7.092,7.0852
2012.3.16,6.98,7.178,6.966,7.064,7.064,3646500,7.040666667,7.1084
2012.3.19,7.052,7.064,6.908,6.996,6.996,5078000,7.02,7.0672
2012.3.20,6.996,7.04,6.914,6.992,6.992,2835000,7.017333333,7.022
2012.3.21,6.988,7.06,6.92,7.03,7.03,3036000,7.006,7.0164
2012.3.22,6.994,7.03,6.86,6.88,6.88,2612000,6.967333333,6.9924
2012.3.23,6.852,6.926,6.63,6.816,6.816,5853000,6.908666667,6.9428
2012.3.26,7.118,7.618,7.008,7.48,7.48,15702500,7.058666667,7.0396
2012.3.27,7.432,7.99,7.406,7.588,7.588,12696000,7.294666667,7.1588
2012.3.28,7.556,7.688,7.422,7.57,7.57,4775000,7.546,7.2668
2012.3.29,7.638,7.638,7.406,7.466,7.466,3982000,7.541333333,7.384
2012.3.30,7.504,7.588,7.336,7.448,7.448,4432000,7.494666667,7.5104
2012.4.2,7.466,7.594,7.306,7.316,7.316,5143000,7.41,7.4776
2012.4.3,7.34,7.694,7.334,7.602,7.602,5490500,7.455333333,7.4804
2012.4.4,7.054,7.098,6.938,7,7,22409000,7.306,7.3664
2012.4.5,7.02,7.088,6.882,6.896,6.896,7547000,7.166,7.2524
2012.4.9,6.82,6.858,6.62,6.63,6.63,8278500,6.842,7.0888
2012.4.10,6.63,6.77,6.42,6.492,6.492,9238500,6.672666667,6.924
2012.4.11,6.648,6.658,6.402,6.618,6.618,5527500,6.58,6.7272
2012.4.12,6.754,6.896,6.584,6.688,6.688,5169500,6.599333333,6.6648
2012.4.13,6.788,6.808,6.57,6.718,6.718,3248000,6.674666667,6.6292
2012.4.16,6.682,6.74,6.418,6.45,6.45,5498000,6.618666667,6.5932
2012.4.17,6.486,6.614,6.408,6.448,6.448,5577500,6.538666667,6.5844
2012.4.18,6.418,6.55,6.306,6.532,6.532,4115500,6.476666667,6.5672
2012.4.19,6.55,6.686,6.5,6.632,6.632,3874500,6.537333333,6.556
2012.4.20,6.628,6.746,6.588,6.632,6.632,4109000,6.598666667,6.5388
2012.4.23,6.572,6.594,6.342,6.388,6.388,4454000,6.550666667,6.5264
2012.4.24,6.364,6.44,6.2,6.364,6.364,3372500,6.461333333,6.5096
2012.4.25,6.414,6.598,6.414,6.582,6.582,3561000,6.444666667,6.5196
2012.4.26,6.592,6.704,6.582,6.698,6.698,2126500,6.548,6.5328
2012.4.27,6.72,6.726,6.582,6.668,6.668,2955000,6.649333333,6.54
2012.4.30,6.654,6.672,6.516,6.626,6.626,2069500,6.664,6.5876
2012.5.1,6.626,6.842,6.626,6.756,6.756,3295000,6.683333333,6.666
2012.5.2,6.7,6.878,6.678,6.788,6.788,2486500,6.723333333,6.7072
2012.5.3,6.782,6.8,6.426,6.492,6.492,4206500,6.678666667,6.666
2012.5.4,6.464,6.492,6.28,6.366,6.366,6237500,6.548666667,6.6056
2012.5.7,6.392,6.516,6.322,6.494,6.494,5790000,6.450666667,6.5792
2012.5.8,6.5,6.546,5.874,6.038,6.038,15486000,6.299333333,6.4356
2012.5.9,6.06,6.154,5.952,6.012,6.012,9739500,6.181333333,6.2804
2012.5.10,6.594,6.936,6.48,6.592,6.592,27781500,6.214,6.3004
2012.5.11,6.498,6.688,6.432,6.45,6.45,6106500,6.351333333,6.3172
2012.5.14,6.384,6.426,6.01,6.012,6.012,6904500,6.351333333,6.2208
2012.5.15,6.052,6.192,5.844,5.886,5.886,7928500,6.116,6.1904
2012.5.16,5.916,6.036,5.776,5.836,5.836,6285500,5.911333333,6.1552
2012.5.17,5.86,5.958,5.648,5.714,5.714,5745000,5.812,5.9796
2012.5.18,5.674,5.692,5.366,5.512,5.512,8082500,5.687333333,5.792
2012.5.21,5.516,5.852,5.424,5.754,5.754,7376000,5.66,5.7404
2012.5.22,6.02,6.268,6,6.16,6.16,11831000,5.808666667,5.7952
2012.5.23,6.112,6.21,5.9,6.204,6.204,6102000,6.039333333,5.8688
2012.5.24,6.25,6.25,5.938,6.056,6.056,5378000,6.14,5.9372
2012.5.25,6.032,6.082,5.84,5.962,5.962,3785000,6.074,6.0272
2012.5.29,6.002,6.386,6.002,6.338,6.338,8250000,6.118666667,6.144
2012.5.30,6.216,6.284,6.048,6.082,6.082,6536000,6.127333333,6.1284
2012.5.31,6.014,6.058,5.75,5.9,5.9,5593500,6.106666667,6.0676
2012.6.1,5.706,5.832,5.552,5.63,5.63,4429000,5.870666667,5.9824
2012.6.4,5.606,5.682,5.422,5.576,5.576,5154500,5.702,5.9052
2012.6.5,5.568,5.678,5.512,5.582,5.582,3154500,5.596,5.754
2012.6.6,5.64,5.89,5.628,5.844,5.844,4549500,5.667333333,5.7064
2012.6.7,5.962,5.974,5.77,5.786,5.786,2460500,5.737333333,5.6836
2012.6.8,5.772,6.038,5.63,6.016,6.016,4405500,5.882,5.7608
2012.6.11,6.062,6.2,5.792,5.824,5.824,3180000,5.875333333,5.8104
2012.6.12,5.846,5.968,5.762,5.932,5.932,2845000,5.924,5.8804
2012.6.13,5.91,6.128,5.894,5.954,5.954,4220500,5.903333333,5.9024
2012.6.14,6.036,6.13,5.724,5.878,5.878,4361000,5.921333333,5.9208
2012.6.15,5.878,5.99,5.762,5.982,5.982,3234000,5.938,5.914
2012.6.18,5.988,6.466,5.9,6.368,6.368,6284000,6.076,6.0228
2012.6.19,6.404,6.532,6.3,6.418,6.418,4555500,6.256,6.12
2012.6.20,6.7,6.9,6.642,6.756,6.756,17112000,6.514,6.2804
2012.6.21,6.852,6.856,6.368,6.438,6.438,9459500,6.537333333,6.3924
2012.6.22,6.52,6.796,6.492,6.758,6.758,15233000,6.650666667,6.5476
2012.6.25,6.788,6.824,6.55,6.622,6.622,7492500,6.606,6.5984
2012.6.26,6.41,6.47,6.278,6.322,6.322,13069500,6.567333333,6.5792
2012.6.27,6.38,6.49,6.314,6.392,6.392,5236000,6.445333333,6.5064
2012.6.28,6.38,6.422,6.124,6.282,6.282,4570500,6.332,6.4752
2012.6.29,6.56,6.56,6.2,6.258,6.258,5629000,6.310666667,6.3752
2012.7.2,6.27,6.36,6.038,6.08,6.08,6578000,6.206666667,6.2668
2012.7.3,6.12,6.2,6.08,6.132,6.132,4735000,6.156666667,6.2288
2012.7.5,6.162,6.334,6.16,6.246,6.246,6269000,6.152666667,6.1996
2012.7.6,6.198,6.346,6.16,6.198,6.198,3922500,6.192,6.1828
2012.7.9,6.188,6.366,6.134,6.298,6.298,4552500,6.247333333,6.1908
2012.7.10,6.308,6.496,6.178,6.254,6.254,3792000,6.25,6.2256
2012.7.11,6.314,6.336,6.202,6.302,6.302,3193000,6.284666667,6.2596
2012.7.12,6.258,6.602,6.16,6.54,6.54,5628500,6.365333333,6.3184
2012.7.13,6.594,6.88,6.566,6.85,6.85,6524000,6.564,6.4488
2012.7.16,6.864,7.2,6.78,7.192,7.192,8720000,6.860666667,6.6276
2012.7.17,7,7.042,6.476,6.67,6.67,12846500,6.904,6.7108
2012.7.18,6.284,6.734,6.212,6.43,6.43,14409500,6.764,6.7364
2012.7.19,6.544,6.63,6.408,6.454,6.454,7179500,6.518,6.7192
2012.7.20,6.414,6.45,6.25,6.358,6.358,7842500,6.414,6.6208
2012.7.23,6.21,6.26,6.124,6.132,6.132,6934000,6.314666667,6.4088
2012.7.24,6.132,6.208,5.924,5.968,5.968,7501500,6.152666667,6.2684
2012.7.25,5.984,5.996,5.75,5.79,5.79,14211000,5.963333333,6.1404
